Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.027718	1.230355
0.293340	1.244481
0.552489	1.260086
0.812974	1.272901
1.071256	1.262630
1.335435	1.277084
1.596089	1.266721
1.857697	1.271140
2.118749	1.283231
2.383700	1.276669
2.642270	1.284287
2.907658	1.278232
3.174118	1.281471
3.432837	1.277163
3.693134	1.282098
3.956755	1.285797
4.225001	1.286346
4.493278	1.292308
4.759684	1.291785
5.020600	1.301602
5.284028	1.294490
5.539232	1.302735
5.797114	1.293690
6.051799	1.305140
6.306401	1.292734
6.564360	1.305698
6.824916	1.293436
7.082758	1.309003
7.344841	1.294827
7.601570	1.308316
7.861964	1.311091
8.125285	1.299621
8.386556	1.306612
8.651180	1.301228
8.911334	1.305795
9.169195	1.303809
9.433304	1.304641
9.693787	1.302656
9.952255	1.302493
10.210582	1.304919
10.477176	1.299693
10.736622	1.299976
10.997888	1.295843
11.258307	1.302680
11.515772	1.294730
11.781591	1.305461
12.041249	1.296938
12.314585	1.309965
12.573371	1.299359
12.838731	1.312214
13.102278	1.301543
13.382036	1.301725
13.649668	1.307165
13.921234	1.303102
14.189391	1.304538
14.451719	1.301949
14.709630	1.304000
14.972857	1.308733
15.234519	1.306666
15.494441	1.314512
15.756402	1.309752
16.019246	1.317475
16.275208	1.308722
16.533033	1.322058
16.792447	1.311325
17.051999	1.325754
17.309209	1.317578
17.573930	1.334129
17.831669	1.321484
18.089566	1.334325
18.360234	1.324235
18.617549	1.326987
18.882783	1.339585
19.145066	1.334343
19.408843	1.342003
19.673224	1.339292
19.931117	1.343793
20.189718	1.342516
20.449289	1.341428
20.704237	1.343931
20.959829	1.343827
21.217458	1.346991
21.477299	1.346837
21.738630	1.349918
21.998519	1.345371
22.258736	1.355848
22.516488	1.347353
22.772699	1.358139
23.032738	1.349113
23.288456	1.363228
23.564351	1.350250
23.824746	1.362413
24.083758	1.349404
24.342067	1.356004
24.601719	1.347179
24.865151	1.346813
25.126260	1.354649
25.396923	1.349838
25.658646	1.358259
25.923142	1.355428
26.185185	1.357396
26.442635	1.360862
26.696962	1.360862
26.951577	1.360862
27.213308	1.360862
27.467358	1.360862
27.722281	1.360862
27.977515	1.360862
28.233012	1.360862
28.487700	1.360862
28.742507	1.360862
28.998933	1.360862
29.258086	1.360862
29.512985	1.360862
29.767687	1.360862
30.028996	1.360862
30.283884	1.360862
30.538926	1.360862
30.794199	1.360862
31.049539	1.360862
31.304256	1.360862
31.565211	1.360862
31.826371	1.360862
32.087310	1.360862
32.342333	1.360862
32.599288	1.360862
32.855492	1.360862
33.115967	1.360862
33.371708	1.360862
33.628716	1.360862
33.882770	1.360862
34.137929	1.360862
34.393324	1.360862
34.648839	1.360862
34.904241	1.360862
35.159071	1.360862
35.414806	1.360862
35.669955	1.360862
35.924793	1.360862
36.180734	1.360862
36.435454	1.360862
36.689738	1.360862
36.944901	1.360862
37.200323	1.360862
37.455714	1.360862
37.715184	1.360862
37.978605	1.360862
38.243630	1.360862
38.498626	1.360862
38.762838	1.360862
39.017299	1.360862
39.272314	1.360862
39.532876	1.360862
