Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.013466	0.005896
0.298495	0.004981
0.557691	0.014565
0.817048	0.023417
1.086770	0.037552
1.342579	0.063889
1.603241	0.093619
1.867682	0.125150
2.124133	0.158045
2.399446	0.195479
2.661017	0.262121
2.915849	0.306128
3.179520	0.356790
3.451212	0.427513
3.722428	0.475449
3.990357	0.554619
4.253197	0.587868
4.527181	0.646177
4.805268	0.677798
5.214655	0.696420
5.497311	0.696420
5.760730	0.712237
6.031550	0.731403
6.289080	0.753453
6.571026	0.791544
6.831539	0.879903
7.098464	0.980574
7.354382	1.095042
7.608967	1.234103
7.874299	1.283530
8.133689	1.469283
8.387367	1.611073
8.647128	1.798566
8.914857	1.918995
9.175926	2.007043
9.437975	2.208371
9.705700	2.348984
9.971988	2.507858
10.249292	2.730098
10.511051	2.855677
10.769728	2.888277
11.029113	2.985996
11.286674	3.255745
11.544101	3.340683
11.797706	3.439317
12.064634	3.603128
12.318339	3.673522
12.575245	3.757069
12.833549	3.791735
13.103645	3.834047
13.363313	3.959804
13.617516	4.115770
13.884355	4.146059
14.147053	3.908119
14.406696	3.849269
14.664014	3.580660
14.921358	3.545619
15.186820	3.614740
15.471027	3.788838
15.738294	3.911178
15.998773	3.883783
16.262999	3.975493
16.521709	3.766453
16.776634	3.039686
17.046654	3.151302
17.304319	3.256051
17.565746	3.423588
17.835752	3.535218
18.113176	3.486603
18.370325	3.153297
18.624660	3.230137
18.890316	3.315555
19.149066	3.349997
19.405039	3.515434
19.671632	3.648673
19.929361	3.052848
20.191912	3.063867
20.465208	3.164657
20.742335	3.326906
20.998523	3.468455
21.263604	3.478812
21.518699	3.681243
21.788946	3.838759
22.057743	3.942215
22.322673	4.212524
22.583861	4.334955
22.843374	4.499017
23.110137	4.708568
23.371010	4.812925
23.625054	4.919929
23.879796	4.964081
24.139496	4.955808
24.403778	5.006182
24.659798	5.107610
24.914446	4.935357
25.180775	4.758177
25.442713	4.774856
25.719895	4.744589
25.990579	4.600965
26.249490	4.743489
26.511045	4.636009
26.784565	4.571724
27.049077	4.466732
27.315334	4.488378
27.576401	4.550546
27.842045	4.650210
28.119025	4.565161
28.378218	4.326968
28.641453	4.275910
28.907018	4.354597
29.168847	4.447878
29.429062	4.560843
29.697087	4.524787
29.973859	4.457778
30.255689	4.214317
30.520347	4.110924
30.780308	4.069208
31.045124	4.156788
31.307314	4.014701
31.562427	3.895702
31.822680	3.815103
32.115226	3.833532
32.378587	3.858206
32.643057	3.985589
32.924439	4.025650
33.194966	3.984558
33.483648	4.043212
33.751083	4.172515
34.011477	4.236726
34.273438	4.071683
34.531057	4.054918
34.795341	4.089140
35.062204	4.210088
35.323681	4.382789
35.582360	4.377010
35.851229	4.495078
36.120138	4.494909
36.378268	4.553685
36.650197	4.354787
36.908568	4.187523
37.170806	4.191705
37.426191	4.063604
37.706807	4.381060
37.973372	4.522395
38.245235	4.658088
38.503506	4.792158
38.765297	4.836917
39.026711	4.932718
39.286334	5.005562
39.548884	3.725541
39.813239	2.647658
40.067744	1.443852
40.327477	0.761040
40.600009	0.027682
40.854338	0.076677
41.113852	0.188674
41.382553	0.257382
41.642864	0.350988
41.899154	0.423905
42.174575	0.543020
42.460764	0.652260
42.747740	0.895293
43.022546	1.013012
