Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.017478	0.025198
0.292061	0.025367
0.551491	0.022815
0.820900	0.015233
1.084285	0.003728
1.348657	0.020461
1.615394	0.046949
1.886418	0.126215
2.144883	0.175724
2.401011	0.239568
2.660006	0.296880
2.918155	0.372790
3.176713	0.444288
3.430433	0.515786
3.684994	0.588369
3.958348	0.685739
4.223745	0.753702
4.480059	0.833133
4.741442	0.939620
4.995268	1.076755
5.251107	1.201934
5.513357	1.334788
5.773252	1.461211
6.030659	1.599730
6.286625	1.727053
6.549273	1.888634
6.809737	2.042827
7.063582	2.223978
7.317591	2.370739
7.579614	2.540189
7.833612	2.670223
8.091671	2.829616
8.352105	2.956940
8.624536	3.099564
8.892715	3.404989
9.149227	3.526812
9.412079	3.687210
9.665876	3.811573
9.922841	3.931190
10.181149	4.078611
10.441360	4.253515
10.695027	4.391270
10.951766	4.535346
11.209337	4.645276
11.471590	4.750651
11.725501	4.830999
11.980258	4.935701
12.245053	4.995100
12.498743	5.044264
12.753078	5.089802
13.013113	5.141685
13.277876	5.179357
13.537931	5.201694
13.792315	5.202195
14.048659	5.218004
14.311374	5.226677
14.565206	5.233765
14.818797	5.235960
15.078426	5.233771
15.332077	5.228953
15.586167	5.220494
15.847534	5.211229
16.117743	5.198982
16.386432	5.173874
16.642093	5.161854
16.903674	5.148588
17.161960	5.134102
17.422719	5.117413
17.683695	5.105776
17.947359	5.094250
18.202047	5.082563
18.461052	5.069499
18.716981	5.060786
18.973680	5.049622
19.229515	5.042775
19.484767	5.036271
19.745146	5.030702
19.999303	5.025882
20.252839	5.023094
20.509273	5.018596
20.770164	5.015922
21.027812	5.015751
21.284956	5.014620
21.542394	5.015998
21.805308	5.014942
22.062715	5.011965
22.317180	5.007929
22.580149	5.006618
22.844461	5.003828
23.115099	4.999386
23.385906	4.995183
23.645264	4.993028
23.903075	4.996175
24.157574	5.002602
24.419807	5.007789
24.683427	5.011184
24.941849	5.012774
25.195488	5.016479
25.452103	5.020157
25.717154	5.022729
25.977656	5.024849
26.243262	5.026053
26.501460	5.026697
26.763374	5.025936
27.024905	5.023065
27.281119	5.017447
27.540330	5.010071
27.797686	5.005612
