Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.009856	0.178733
0.268843	0.176798
0.532745	0.171706
0.790503	0.158449
1.048263	0.137109
1.306009	0.107769
1.564444	0.068807
1.826407	0.027596
2.084407	0.021987
2.340556	0.074320
2.597948	0.116422
2.858081	0.135729
3.130109	0.180474
3.403848	0.212174
3.673326	0.299797
3.941644	0.333766
4.207194	0.370535
4.475163	0.413054
4.733328	0.437169
4.995478	0.490951
5.280371	0.514644
5.544666	0.561644
5.802610	0.611024
6.069623	0.645539
6.345281	0.676926
6.607121	0.719318
6.866983	0.747335
7.126249	0.775185
7.413924	0.813704
7.685280	0.843825
7.942145	0.883798
8.201568	0.916011
8.475573	0.937348
8.732877	0.947974
9.000739	0.961217
9.261528	0.994093
9.527518	1.035139
9.783962	1.064486
10.046728	1.099475
10.313266	1.127854
10.580470	1.165794
10.837157	1.188554
11.100928	1.218388
11.360128	1.191412
11.619421	1.167176
11.876836	1.164601
12.137370	1.169080
12.409869	1.187663
12.667735	1.240428
12.931378	1.271967
13.201801	1.295740
13.459111	1.312104
13.731983	1.336596
13.996217	1.367259
14.257689	1.395365
14.523298	1.433201
14.791041	1.470147
15.061934	1.488481
15.320346	1.497601
15.577733	1.515754
15.857069	1.554016
16.115836	1.589782
16.374787	1.618557
16.632813	1.653608
16.889391	1.690435
17.148111	1.714041
17.408504	1.760711
17.681577	1.800460
17.951538	1.821171
18.221773	1.853270
18.483027	1.865463
18.746403	1.889715
19.004521	1.625742
19.268568	1.554807
19.536112	0.939964
19.792311	0.894593
20.053261	0.881811
20.323462	0.873917
20.595166	0.869141
20.868161	0.865306
21.127841	0.862274
21.391664	0.858635
21.663183	0.855499
21.931939	0.849036
22.191821	0.847869
22.447648	0.846278
22.713798	0.843657
22.980307	0.839955
23.241053	0.837817
23.499388	0.835047
23.762231	0.833293
24.038180	0.831776
24.304202	0.830155
24.567193	0.828298
24.823375	0.825816
25.089254	0.823762
25.365509	0.822458
25.644145	0.820597
25.905616	0.818064
26.166873	0.816775
26.432469	0.815685
26.693746	0.820514
26.957371	0.828130
27.228773	0.842842
27.488412	0.871966
27.744561	0.907853
28.007839	0.935928
28.263393	0.961185
28.522223	1.004987
28.779813	1.040124
29.038723	1.062900
29.295362	1.100454
29.560512	1.117824
29.816344	1.147439
30.075341	1.169788
30.331475	1.190938
30.608901	1.205512
30.866956	1.234851
31.136367	1.265831
31.397924	1.288708
31.661808	1.222955
31.931526	1.219224
32.189040	1.225927
32.447380	1.243954
32.712991	1.274490
32.976294	1.306790
33.231788	1.341548
33.494866	1.357262
33.754960	1.387059
34.012692	1.423594
34.290956	1.449352
34.547013	1.479253
34.804368	1.508945
35.070495	1.529218
35.338440	1.551804
35.597895	1.587571
35.854849	1.611919
36.113524	1.644918
36.377354	1.679692
36.633308	1.709821
36.890703	1.737531
37.161155	1.775452
37.427172	1.835616
37.693028	1.837221
37.968503	1.846806
38.224821	1.724771
38.480249	1.680142
38.740480	1.637907
39.009855	1.585817
39.271294	1.544681
39.544210	1.497827
39.808214	1.470207
40.072880	1.446281
40.337225	1.415631
40.597894	1.386331
40.854542	1.365215
41.114895	1.329440
41.380841	1.301987
41.651973	0.768435
41.912194	0.742682
42.175128	0.744457
42.443604	0.745930
42.701265	0.749725
42.959925	0.752322
43.231907	0.753897
43.507820	0.755161
43.764432	0.757143
44.024188	0.758565
44.286030	0.759676
44.556330	0.761453
44.822613	0.762926
45.080654	0.764751
45.339518	0.765669
45.612627	0.766746
45.878178	0.768232
46.146727	0.768941
46.402291	0.770295
46.664492	0.771099
46.936629	0.772394
47.202805	0.772973
47.463436	0.773671
47.724050	0.774537
47.987798	0.774921
48.261864	0.775541
48.535077	0.776196
48.801853	0.776822
49.063976	0.777736
49.326852	0.778246
49.595592	0.778832
49.854922	0.779021
50.120244	0.779298
50.392372	0.780050
50.657752	0.780092
50.917231	0.780092
51.178938	0.780092
51.436460	0.780092
51.695791	0.780092
51.954108	0.780092
52.209022	0.780092
52.466831	0.780092
