Tempo desde o começo da simulação	Módulo da velocidade do veículo
0.009154	0.054434
0.270658	0.052083
0.535020	0.052222
0.798156	0.056835
1.061011	0.071107
1.322466	0.084033
1.597180	0.097355
1.880867	0.120875
2.144978	0.131205
2.411752	0.143551
2.687187	0.154869
2.954600	0.165804
3.227075	0.176390
3.489691	0.187405
3.757165	0.198287
4.026684	0.209106
4.287661	0.219192
4.551977	0.230650
4.813124	0.240767
5.076565	0.251603
5.351179	0.263189
5.615849	0.284094
5.885863	0.294541
6.155080	0.306371
6.419051	0.316801
6.677536	0.328733
6.954306	0.339659
7.232488	0.351036
7.492002	0.362079
7.760885	0.372027
8.018407	0.382655
8.280531	0.394004
8.544482	0.406904
8.810449	0.418309
9.078721	0.430439
9.342004	0.441584
9.629744	0.463372
9.894248	0.474656
10.156817	0.486440
10.436129	0.497654
10.696139	0.508738
10.960981	0.518906
11.222453	0.529180
11.485372	0.540766
11.750250	0.551554
12.018121	0.560052
12.280341	0.572814
12.554171	0.582653
12.820138	0.592399
13.095785	0.604115
13.368696	0.624464
13.634407	0.634459
13.909426	0.644352
14.179040	0.654143
14.440809	0.663834
14.701540	0.672789
14.964751	0.682893
15.231924	0.692369
15.490047	0.701780
15.752195	0.711085
16.014966	0.720280
16.278062	0.728174
16.542726	0.737224
16.807713	0.746171
17.069776	0.756192
17.348155	0.764357
17.618411	0.782162
17.886963	0.790092
18.152501	0.798499
18.415577	0.806821
18.680006	0.815612
18.943222	0.824304
19.212693	0.831830
19.469489	0.839285
19.726714	0.847195
20.002183	0.853984
20.258670	0.862713
20.520412	0.867243
20.781054	0.875282
21.045061	0.871700
21.320575	0.878167
21.587262	0.883753
21.846817	0.897239
22.115265	0.902936
22.383085	0.909635
22.646865	0.915842
22.904760	0.922435
23.176127	0.923606
23.450182	0.844914
23.710648	0.810022
23.982280	0.768775
24.244099	0.778752
24.501353	0.786575
24.765645	0.794915
25.032136	0.801615
25.292600	0.811520
25.558446	0.819145
25.824572	0.827234
26.103694	0.836303
26.361748	0.852058
26.627899	0.859398
26.892756	0.867037
27.156378	0.874603
27.431641	0.882094
27.689655	0.889016
27.952847	0.851804
28.218859	0.850088
28.478490	0.848632
28.738053	0.847387
28.998225	0.851237
29.260101	0.854610
29.519623	0.859169
29.787006	0.864146
30.049363	0.869203
30.309960	0.873558
30.575079	0.878170
30.856311	0.882729
31.123010	0.876491
31.398388	0.883930
31.662028	0.891387
31.920782	0.898770
32.178168	0.906073
32.441417	0.913302
32.700435	0.920459
32.960007	0.927545
33.221450	0.935023
33.479309	0.941041
33.735690	0.947918
33.998820	0.955177
34.259276	0.962356
34.526531	0.968574
34.787018	0.974732
35.050310	0.980832
35.316863	0.987732
35.580155	0.994559
35.856193	1.000472
36.116799	1.012959
36.376511	1.019520
36.642736	1.025607
36.909718	1.031232
37.170940	1.037596
37.430963	1.041422
37.701641	1.043769
37.963753	1.046240
38.227495	1.048531
38.497262	1.050732
38.768002	0.162683
39.039108	0.376809
39.300251	0.387910
39.561798	0.396977
39.825096	0.393301
40.111564	0.406300
40.387656	0.429985
40.651560	0.442847
40.914907	0.453988
41.182001	0.467377
41.443423	0.478290
41.699307	0.489868
41.958206	0.501328
42.221089	0.513425
42.486303	0.524646
42.745021	0.534279
43.003938	0.546019
43.262898	0.556187
43.523408	0.565542
43.794148	0.577651
44.053331	0.586818
44.320379	0.598683
44.579243	0.609039
44.852383	0.619289
45.121052	0.638813
45.389732	0.542178
45.647578	0.525056
45.906174	0.510621
46.175103	0.503251
46.441539	0.499836
46.706230	0.496472
46.964975	0.497815
47.227295	0.498578
47.484848	0.502856
47.742706	0.508472
48.001741	0.515120
48.260618	0.520577
48.522703	0.527387
48.782320	0.535935
49.061532	0.543870
49.319420	0.553216
49.577207	0.562867
49.837734	0.571590
50.099213	0.588118
50.360450	0.597055
50.618648	0.605320
50.881472	0.614862
51.144114	0.624513
51.404018	0.634408
51.667101	0.642104
51.925366	0.653161
52.180940	0.662187
52.452880	0.673028
52.710698	0.681911
52.968436	0.691255
53.224502	0.700646
53.483231	0.709913
53.742500	0.719096
54.003077	0.728138
54.264632	0.737774
54.522031	0.744293
54.784639	0.753169
55.046506	0.762520
55.308783	0.771772
55.568910	0.780359
55.827803	0.789420
56.110950	0.797252
56.369479	0.814329
56.627236	0.821971
56.892188	0.830576
57.149816	0.838558
57.409573	0.846997
57.665739	0.854295
57.926309	0.862551
58.186433	0.869194
58.444179	0.824117
58.705212	0.821157
58.973127	0.818532
59.232630	0.817657
59.489427	0.816388
59.746933	0.815248
60.004448	0.819406
60.264072	0.822506
60.524154	0.826985
60.781415	0.831631
61.042068	0.836834
61.302361	0.841670
61.565664	0.844879
61.846338	0.845943
62.108766	0.850010
62.371968	0.852019
62.630277	0.843025
62.896330	0.851267
63.152987	0.858532
63.415228	0.866753
63.678880	0.874878
63.937242	0.881410
64.195395	0.889388
64.453447	0.896292
64.711838	0.904109
64.969561	0.911835
65.227294	0.918036
65.485929	0.925572
65.743117	0.932594
66.002290	0.939084
66.259590	0.945055
66.515950	0.952334
